name,rating,review_time,variant,comment,like_count
sulaeman,5,4 bulan lalu,,"kurir nya J&T PHP . ,untuk TV cukup lah walaupun agak lama loading nya over all good dengan harga nya yang cukup terjangkau",0
ASEP,5,4 bulan lalu,,"Pengiriman aman & cepat, barang ok. recomended buat yg nyari google tv.",4
A***d,5,Lebih dari 1 tahun lalu,,"Barang super mantap, spesifikasi oke",1
Maulud,5,2 bulan lalu,Varian: NEW! TV A 32 Pro 2026,Terbukti layarnya memang lebih bagus dibanding yang seri sebelumnya. Diterima dalam kondisi baik meski tanpa packing kayu.,0
Firdaus,5,8 bulan lalu,Varian: A 32 Pro,"Barang original, gambar halus, suara jernih, good product price and services, pertahanka",0
R***d,5,11 bulan lalu,Varian: A 32 Pro,"Mantabbb, pengiriman cepat. Barang diterima dengan baik, proses cepat juga. Sukses selalu gan.....",0
M***D,5,2 bulan lalu,Varian: NEW! TV A 32 Pro 2026,barang sudah sampai dan berfungsi dengan baik dan pengiriman barang cepat harga murah,0
b***o,5,2 bulan lalu,Varian: NEW! TV A 32 Pro 2026,Barangnya dikemas dgn baik dan dikirimkan lebih cepat.,0
Jabbar,5,1 bulan lalu,Varian: NEW! TV A 32 Pro 2026,"udh nyampe, baru bisa kasih ulasan bbrp hari soalnya buat nyoba dulu, tpi untung aman nggk ada impact sedikitpun👍🏻",0
arifin,5,11 bulan lalu,Varian: A 32 Pro,"mantap, barang sampai dan dapat digunakan, selamat sampai lokasi, berfungsi dengan baik",2
Yuyus,5,2 bulan lalu,Varian: NEW! TV A 32 Pro 2026,barang bagus.suara baguss... syang ga ada bonus...,2
Syaeful,5,5 bulan lalu,,"Barang sesuai deskripsi pelayanan penjual responsif pengiriman barang mantap,packing standard.",0
ecko,5,5 bulan lalu,,"pengiriman cepat,tv jernih.hanya saja channel grup MNC gak dapat",0
Arnaz,5,6 bulan lalu,,"Google TV yang sangat OK. Semua berfungsi dengan baik, pengiriman super cepat dan aman.",0
Bella,5,1 bulan lalu,Varian: NEW! TV A 32 Pro 2026,"Ori, pengiriman agak lama karena menjelang lebaran. Paket numpuk pastinya. Barang sampai dengan kondisi baik, nggak ada lecet / rusak. Thanks seller",0
T***h,5,7 bulan lalu,Varian: A 32 Pro,"paket datang lengkap,lebih cepat dari estimasi,sudah di pasang semua berjalan dengan sesuai",0
Eko,5,5 bulan lalu,,"barang ORI dan berpungsi buat toko nya mantap, kurir nya bagus biar ga pake paking kayu barang dikirim mulus ga ada cacat,",0
f***k,5,11 bulan lalu,Varian: A 32 Pro,"barang berfungsi dengan baik 

nb:penjual slow respon",1
Aditya,5,Lebih dari 1 tahun lalu,,Barang sesuai dan kondisi baik🙏,0
A***i,5,1 bulan lalu,Varian: NEW! TV A 32 Pro 2026,"Alhamdulillah,, barang sudah sampai,, terimakasih xiaomi",0
Ibnu,5,9 bulan lalu,Varian: A 32 Pro,"Mantaaapz 🤩👍👍👍,,, walau sedikit agak bingung waktu pertama kali setting nya tapi setelah liat YouTube bingung nya ilang 🤭",1
R***o,5,10 bulan lalu,Varian: A 32 Pro,produk sesuai gambar dan spesifikasi yg lumayan dengan harga teejangkau,0
F***l,5,3 hari lalu,Varian: NEW! TV A 32 Pro 2026,"maaf baru kasih ulasan min..
barang sampai dgn aman walau tdk TDK ada palet kayu
barang sudah di coba dan berpungsi dgn baik",0
Suherdi,5,5 bulan lalu,,"Barang sampai udah tes bisa tp gak bagus, katanya smart tv tp tv nya malah T*LOL remot nya dipencet gak pindah2 mesti tunggu 5 smp 15 menit baru respon tv nya kl pencet r...",0
Toni,5,2 bulan lalu,,"Makasih ya BossQue, salam kenal ya...
Siapa tahu BossQue mau beli mobil 🙏",0
Dwi,5,9 bulan lalu,,alhamdulillah sesuai dengan ekspektasi makasih ya semoga awet,0
Deviana,5,10 bulan lalu,Varian: A 32 Pro,"brg original, baguss sesuai produk, thankyou seller",2
Irphaanputra,5,1 bulan lalu,Varian: NEW! TV A 32 Pro 2026,"Barangnya mendarat dengan selamat. Ini bagus bngt makan bgtt, pasangannya juga gampangg",0
Rahayuning,5,2 bulan lalu,Varian: NEW! TV A 32 Pro 2026,tv datang wrapp buble. rapi. sudah di tes berfungsi baik. mantap,0
Rival,5,6 bulan lalu,Varian: A 32 Pro,"pengemasan lumayan baik
barang smpai dengan selamat",0
Miftahul,5,1 bulan lalu,Varian: NEW! TV A 32 Pro 2026,"Gimana ya, awalnya was was karna barang nggak packing kayu. ternyata packing kardus bawaan aja aman 😂. 

mau appreciate ke expedisinya. cepat sampe pake j&t cargo, w...",1
J***i,5,2 minggu lalu,Varian: NEW! TV A 32 Pro 2026,"berfungsi dengan baik, semoga awet sementahun yaaa,
terimakasih xiaomi.",2
Muhammad,5,Lebih dari 1 tahun lalu,,"barang mendarat dengan aman, barang aman tidak ada kendala, makasih seller tokped",1
Achmad,5,Lebih dari 1 tahun lalu,,TV murah meriah di kelasnya. sesuai expetasi dan harapan,1
t***a,5,Lebih dari 1 tahun lalu,,Terima kasih barang sudah tiba dengan baik dan sesuai pesanan. bagus,0
Irfan,5,Lebih dari 1 tahun lalu,,"barang sudah, cek pisik oke, belum coba test nyala karena belum sempet",3
zainu,5,Lebih dari 1 tahun lalu,,"Kualitas fisik oke lah dengan range harga segitu, kalo internal warnanya aja kurang tajem kayak nanggung",0
Yudisthira,5,Lebih dari 1 tahun lalu,,"Pengiriman cepat dan aman. 
Selalu puas dgn xiaomi tv.",0
Slamet,5,Lebih dari 1 tahun lalu,,bagus dan mantap dach. alhamdulillaah dpt harga promo.,0
